Titre,Auteurs,Année,Source,Citations,DOI,Lien,Terme_recherche
Bone substitute material composition and morphology differentially modulate calcium and phosphate release through osteoclast-like cells.,Konermann A; Staubwasser M; Dirk C; Keilig L; Bourauel C; Gotz W; Jager A; Reichert C,2014,Int J Oral Maxillofac Surg,NC,10.1016/j.ijom.2013.10.017,https://pubmed.ncbi.nlm.nih.gov/24268900/,"""cerabone"""
Influence of material properties on rate of resorption of two bone graft materials after sinus lift using radiographic assessment.,Riachi F; Naaman N; Tabarani C; Aboelsaad N; Aboushelib MN; Berberi A; Salameh Z,2012,Int J Dent,NC,10.1155/2012/737262,https://pubmed.ncbi.nlm.nih.gov/22899930/,"""cerabone"""
Mesenchymal stem cell (MSC) and endothelial progenitor cell (EPC) growth and adhesion in six different bone graft substitutes.,Schultheiss J; Seebach C; Henrich D; Wilhelm K; Barker JH; Frank J,2011,Eur J Trauma Emerg Surg,NC,10.1007/s00068-011-0119-0,https://pubmed.ncbi.nlm.nih.gov/26815476/,"""cerabone"""
"Comparison of six bone-graft substitutes regarding to cell seeding efficiency, metabolism and growth behaviour of human mesenchymal stem cells (MSC) in vitro.",Seebach C; Schultheiss J; Wilhelm K; Frank J; Henrich D,2010,Injury,NC,10.1016/j.injury.2010.02.017,https://pubmed.ncbi.nlm.nih.gov/20233614/,"""cerabone"""
A Clinical Comparison of Cenobone (A Decalcified Freeze-dried Bone Allograft) with Autogenous Bone Graft in the Treatment of Two- and Three-wall Intrabony Periodontal Defects: A Human Study with Six-month Reentry.,Abolfazli N; Saleh Saber F; Lafzi A; Eskandari A; Mehrasbi S,2008,J Dent Res Dent Clin Dent Prospects,NC,10.5681/joddd.2008.001,https://pubmed.ncbi.nlm.nih.gov/23285322/,"""cerabone"""
Evaluation of a novel nanocrystalline hydroxyapatite paste and a solid hydroxyapatite ceramic for the treatment of critical size bone defects (CSD) in rabbits.,Huber FX; Berger I; McArthur N; Huber C; Kock HP; Hillmeier J; Meeder PJ,2008,J Mater Sci Mater Med,NC,10.1007/s10856-007-3039-0,https://pubmed.ncbi.nlm.nih.gov/17569013/,"""cerabone"""
Injectable nanocrystalline hydroxyapatite paste for bone substitution: in vivo analysis of biocompatibility and vascularization.,Laschke MW; Witt K; Pohlemann T; Menger MD,2007,J Biomed Mater Res B Appl Biomater,NC,10.1002/jbm.b.30755,https://pubmed.ncbi.nlm.nih.gov/17279565/,"""cerabone"""
Void filling of tibia compression fracture zones using a novel resorbable nanocrystalline hydroxyapatite paste in combination with a hydroxyapatite ceramic core: first clinical results.,Huber FX; McArthur N; Hillmeier J; Kock HJ; Baier M; Diwo M; Berger I; Meeder PJ,2006,Arch Orthop Trauma Surg,NC,10.1007/s00402-006-0170-1,https://pubmed.ncbi.nlm.nih.gov/16835779/,"""cerabone"""
A comparative analysis of particulate bovine bone substitutes for oral regeneration: a narrative review.,"Pabst A, Becker P, Götz W, Heimes D, Thiem DGE, Blatt S, Kämmerer PW.",2024,Int J Implant Dent,None,10.1186/s40729-024-00544-z,https://europepmc.org/article/MED/38801622,"""cerabone"""
Enamel matrix derivative monotherapy versus combination therapy with bone grafts for periodontal intrabony defects: An updated review.,"Hasuike A, Watanabe T, Hirooka A, Arai S, Akutagawa H, Yoshinuma N, Sato S.",2024,Jpn Dent Sci Rev,None,10.1016/j.jdsr.2024.08.001,https://europepmc.org/article/MED/39507278,"""cerabone"""
Fully digital workflow from bone augmentation to implant-supported prosthetic reconstruction.,"Tatli U, Soygun K, Yuksel O.",2024,J Dent Sci,None,10.1016/j.jds.2024.05.031,https://europepmc.org/article/MED/39347093,"""cerabone"""
Critical-sized marginal defects around implants treated with xenografts in rabbits,"Asano A, Xavier SP, Silva ER, Morinaga K, Botticelli D, Nakajima Y, Baba S.",2023,Non disponible,None,10.21203/rs.3.rs-3635546/v1,Non disponible,"""cerabone"""
From Basic Science to Clinical Practice: A Review of Current Periodontal/Mucogingival Regenerative Biomaterials.,"De Lauretis A, Øvrebø Ø, Romandini M, Lyngstadaas SP, Rossi F, Haugen HJ.",2024,Adv Sci (Weinh),None,10.1002/advs.202308848,https://europepmc.org/article/MED/38380549,"""cerabone"""
"Histological and histomorphometrical evaluation of Bio-Oss, Cerabone, and i-PRF for bone regeneration in critical bone defects: An in vivo study","Boia JRdA, Soares LFF, Passos GP, Neves JdS, Mariano RC, Junior NVR.",2022,Non disponible,None,10.21203/rs.3.rs-1513837/v1,Non disponible,"""cerabone"""
Effect of Applying 1% Metformin on Guided Bone Regeneration Processes with Bovine-Derived Xenografts.,"Montalbán-Vadillo O, Pérez-Pevida E, Viteri-Agustín I, Chávarri-Prado D, Estrada-Martínez A, Diéguez-Pereira M, Sánchez-Lasheras F, Brizuela-Velasco A.",2024,J Clin Med,None,10.3390/jcm13102973,https://europepmc.org/article/MED/38792514,"""cerabone"""
Hyaluronic Acid in Bone Regeneration: Systematic Review and Meta-Analysis.,"Lorenzi C, Leggeri A, Cammarota I, Carosi P, Mazzetti V, Arcuri C.",2024,Dent J (Basel),None,10.3390/dj12080263,https://europepmc.org/article/MED/39195107,"""cerabone"""
Periodontal Disease Monitoring by Raman Spectroscopy of Phosphates: New Insights into Pyrophosphate Activity.,"Gatin E, Iordache SM, Gatin DI, Nagy P, Iordache AM, Luculescu C.",2023,Diagnostics (Basel),None,10.3390/diagnostics14010066,https://europepmc.org/article/MED/38201375,"""cerabone"""
Histological Evaluation of Bone Regeneration Using Hydroxyapatite Based Bone Substitute Derived from Antler: An Animal Study.,"Sargolzaie N, Kadkhodazadeh M, Ebadian AR, Shafieian R, Pourkaveh S, Naghibi N, Ramandie MF.",2022,J Long Term Eff Med Implants,None,10.1615/jlongtermeffmedimplants.2021039830,https://europepmc.org/article/MED/35377997,"""cerabone"""
Bone Regeneration of Rat Critical-Sized Calvarial Defects by the Combination of Photobiomodulation and Adipose-Derived Mesenchymal Stem Cells.,"Fekrazad S, Farzad-Mohajeri S, Mashhadiabbas F, Daghighi H, Arany PR, Fekrazad R.",2024,J Lasers Med Sci,None,10.34172/jlms.2024.31,https://europepmc.org/article/MED/39193112,"""cerabone"""
A novel micro-CT analysis for evaluating the regenerative potential of bone augmentation xenografts in rabbit calvarias.,"Beitlitum I, Rayyan F, Pokhojaev A, Tal H, Sarig R.",2024,Sci Rep,None,10.1038/s41598-024-54313-4,https://europepmc.org/article/MED/38383533,"""cerabone"""
Stability of Implants Supported By Three Types of Bone Grafting Materials in Dogs,"Gholami M, Ahrari F, Sedigh HS, Bourauel C, Ahmadi L.",2021,Non disponible,None,10.21203/rs.3.rs-1063509/v1,Non disponible,"""cerabone"""
Implant placement with inferior alveolar nerve repositioning in the posterior mandible.,"Kim D, Lim T, Lee HW, Lee BS, Choi BJ, Ohe JY, Jung J.",2023,J Korean Assoc Oral Maxillofac Surg,None,10.5125/jkaoms.2023.49.6.347,https://europepmc.org/article/MED/38155088,"""cerabone"""
Effects of boric acid on alveolar sockets filling after dental extraction in rats,"Costa RRd, Cunha Gd, Freitas RDS, Weber JBB.",2022,Non disponible,None,10.21203/rs.3.rs-2062805/v1,Non disponible,"""cerabone"""
"In vitro comparison of the osteogenic capability of human pulp stem cells on alloplastic, allogeneic, and xenogeneic bone scaffolds.","Heitzer M, Modabber A, Zhang X, Winnand P, Zhao Q, Bläsius FM, Buhl EM, Wolf M, Neuss S, Hölzle F, Hildebrand F, Greven J.",2023,BMC Oral Health,None,10.1186/s12903-023-02726-4,https://europepmc.org/article/MED/36721114,"""cerabone"""
Comparative Effectiveness of an Autologous Dentin Matrix for Alveolar Ridge Preservation.,"Redko N, Drobyshev A, Le TH, Lezhnev D, Deev R, Bozo I, Miterev A, Shamrin S, Skakunov Y, Meliev D.",2024,Medicina (Kaunas),None,10.3390/medicina60081280,https://europepmc.org/article/MED/39202563,"""cerabone"""
Analyses of the Cellular Interactions between the Ossification of Collagen-Based Barrier Membranes and the Underlying Bone Defects.,"Alkildani S, Ren Y, Liu L, Rimashevskiy D, Schnettler R, Radenković M, Najman S, Stojanović S, Jung O, Barbeck M.",2023,Int J Mol Sci,None,10.3390/ijms24076833,https://europepmc.org/article/MED/37047808,"""cerabone"""
Histological evaluation of two different anorganic bovine bone matrixes in lateral wall sinus elevation procedure: A retrospective study.,"Mahesh L, Mascarenhas G, Bhasin MT, Guirado C, Juneja S.",2020,Natl J Maxillofac Surg,None,10.4103/njms.njms_81_19,https://europepmc.org/article/MED/33897191,"""cerabone"""
A novel pilot animal model for bone augmentation using osseous shell technique for preclinical in vivo studies.,"Kamal M, Al-Obaidly S, Lethaus B, Bartella AK.",2022,Clin Exp Dent Res,None,10.1002/cre2.644,https://europepmc.org/article/MED/35933723,"""cerabone"""
An Up-to-Date Review of Materials Science Advances in Bone Grafting for Oral and Maxillofacial Pathology.,"Nicolae CL, Pîrvulescu DC, Niculescu AG, Epistatu D, Mihaiescu DE, Antohi AM, Grumezescu AM, Croitoru GA.",2024,Materials (Basel),None,10.3390/ma17194782,https://europepmc.org/article/MED/39410353,"""cerabone"""
"Radiological Study on the Evolution of the Biomaterial's Image (Shape, Density, Vertical Dimensions) after the Lateral Sinus Lift.","Epistatu D, Dinca OM, Vladan C, Padurariu C, Damian I, Hostiuc S.",2023,Dent J (Basel),None,10.3390/dj11120273,https://europepmc.org/article/MED/38132411,"""cerabone"""
Comparative analysis of lateral maxillary sinus augmentation with a xenogeneic bone substitute material in combination with piezosurgical preparation and bony wall repositioning or rotary instrumentation and membrane coverage: a prospective randomized clinical and histological study.,"Molnár B, Jung AK, Papp Z, Martin A, Orbán K, Pröhl A, Jung O, Barbeck M, Windisch P.",2022,Clin Oral Investig,None,10.1007/s00784-022-04494-x,https://europepmc.org/article/MED/35593928,"""cerabone"""
"A study of bioactive glass-ceramic's mechanical properties, apatite formation, and medical applications.","Workie AB, Shih SJ.",2022,RSC Adv,None,10.1039/d2ra03235j,https://europepmc.org/article/MED/36090402,"""cerabone"""
Preliminary Assessment of In Vivo Raman Spectroscopy Technique for Bone Quality Evaluation of Augmented Maxillary Sinus Floor.,"Gatin E, Nagy P, Iordache SM, Iordache AM, Luculescu CR, Grygorovskyy V.",2023,Int J Environ Res Public Health,None,10.3390/ijerph20064789,https://europepmc.org/article/MED/36981696,"""cerabone"""
Can locally applied risedronate be an effective agent when combined with xenografts? An animal study.,"Özer T, Guliyeva V, Aktaş A, Barış E, Ocak M.",2023,BMC Oral Health,None,10.1186/s12903-023-03231-4,https://europepmc.org/article/MED/37488504,"""cerabone"""
Immediate Loading Implant-Supported Fixed Full-Arch Rehabilitation Using a New Clinical Decision-Support System: A Case Series.,"Bahaa A, Bahaa A, El-Bagoury N, Khaled N, El-Mohandes WA, Ibrahim AM.",2024,Cureus,None,10.7759/cureus.67879,https://europepmc.org/article/MED/39328709,"""cerabone"""
In Vivo Analysis of the Biocompatibility and Bone Healing Capacity of a Novel Bone Grafting Material Combined with Hyaluronic Acid.,"Pröhl A, Batinic M, Alkildani S, Hahn M, Radenkovic M, Najman S, Jung O, Barbeck M.",2021,Int J Mol Sci,None,10.3390/ijms22094818,https://europepmc.org/article/MED/34062885,"""cerabone"""
Immediate Implants in Posterior Extraction Sites: A Case Series Applying the Dual-Zone Therapeutic Concept With a Three-Year Follow-Up.,"Bahaa A, Bahaa AM, El-Bagoury N, Khaled N, Ibrahim AM.",2024,Cureus,None,10.7759/cureus.54890,https://europepmc.org/article/MED/38544659,"""cerabone"""
Risk Factors for Complications Following Staged Alveolar Ridge Augmentation and Dental Implantation: A Retrospective Evaluation of 151 Cases with Allogeneic and 70 Cases with Autogenous Bone Blocks.,"Kloss FR, Kämmerer PW, Kloss-Brandstätter A.",2022,J Clin Med,None,10.3390/jcm12010006,https://europepmc.org/article/MED/36614811,"""cerabone"""
Incidental finding of paradental cyst in the maxillary anterior teeth during immediate implant placement.,"Rodrigues PA, Subramanya AP, Prabhuji M, Vardhan KB.",2022,J Indian Soc Periodontol,None,10.4103/jisp.jisp_625_21,https://europepmc.org/article/MED/36582954,"""cerabone"""
Physicochemical characterization of porcine bone-derived grafting material and comparison with bovine xenografts for dental applications.,"Lee JH, Yi GS, Lee JW, Kim DJ.",2017,J Periodontal Implant Sci,None,10.5051/jpis.2017.47.6.388,https://europepmc.org/article/MED/29333325,"""cerabone"""
"Osteogenic Potential of Autologous Dentin Graft Compared with Bovine Xenograft Mixed with Autologous Bone in the Esthetic Zone: Radiographic, Histologic and Immunohistochemical Evaluation.","Oguić M, Čandrlić M, Tomas M, Vidaković B, Blašković M, Jerbić Radetić AT, Zoričić Cvek S, Kuiš D, Cvijanović Peloza O.",2023,Int J Mol Sci,None,10.3390/ijms24076440,https://europepmc.org/article/MED/37047413,"""cerabone"""
"Effect of systemic antibiotics on the outcomes of regenerative periodontal surgery in intrabony defects: a randomized, controlled, clinical study.","Pietruska M, Dolińska E, Milewski R, Sculean A.",2021,Clin Oral Investig,None,10.1007/s00784-020-03616-7,https://europepmc.org/article/MED/33048260,"""cerabone"""
Allogeneic versus autogenous shell technique augmentation procedures: a prospective-observational clinical trial comparing surgical time and complication rates.,"Tunkel J, Hoffmann F, Schmelcher Y, Kloss-Brandstätter A, Kämmerer PW.",2023,Int J Implant Dent,None,10.1186/s40729-023-00505-y,https://europepmc.org/article/MED/38117445,"""cerabone"""
Influence of Anatomical Parameters on the Dimensions of the Subantral Space and Sinus Mucosa Thickening after Sinus Floor Elevation. A Retrospective Cone Beam Computed Tomography Study.,"Omori Y, Nakajima Y, Imai H, Yonezawa D, Ferri M, Apaza Alccayhuaman KA, Botticelli D.",2021,Dent J (Basel),None,10.3390/dj9070076,https://europepmc.org/article/MED/34202457,"""cerabone"""
Combined use of xenogenous bone blocks and guided bone regeneration for three-dimensional augmentation of anterior maxillary ridge: A case series.,"Talebi M, Janbakhsh N.",2019,J Adv Periodontol Implant Dent,None,10.15171/japid.2019.015,https://europepmc.org/article/MED/35919487,"""cerabone"""
Bone Augmentation and Simultaneous Implant Placement with Allogenic Bone Rings and Analysis of Its Purification Success.,"Giesenhagen B, Martin N, Jung O, Barbeck M.",2019,Materials (Basel),None,10.3390/ma12081291,https://europepmc.org/article/MED/31010149,"""cerabone"""
Intrusion of overerupted molars with temporary anchorage devices before prosthetic reconstruction: A case report.,"Kučera J, Marek I, Tomeček M, Foltán R, Foltánová B.",2022,Clin Case Rep,None,10.1002/ccr3.6108,https://europepmc.org/article/MED/35898736,"""cerabone"""
The effect of a barrier membrane on the incorporation of deproteinized bovine bone mineral (DBBM) in experimental defects at the time of early implant placement. A preclinical study.,"Ellis R, Chen S, Guzón FMM, Darby I.",2024,Clin Oral Investig,None,10.1007/s00784-024-05748-6,https://europepmc.org/article/MED/38822921,"""cerabone"""
Bioactivity and Biocompatibility Properties of Sustainable Wollastonite Bioceramics from Rice Husk Ash/Rice Straw Ash: A Review.,"Ismail H, Mohamad H.",2021,Materials (Basel),None,10.3390/ma14185193,https://europepmc.org/article/MED/34576417,"""cerabone"""
Regeneration of Horizontal Bone Defect in Edentulous Maxilla Using the Allogenic Bone-Plate Shell Technique and a Composite Bone Graft-A Case Report.,"Kovac Z, Cabov T, Blaskovic M, Morelato L.",2023,Medicina (Kaunas),None,10.3390/medicina59030494,https://europepmc.org/article/MED/36984495,"""cerabone"""
Cytocompatibility of Bone Substitute Materials and Membranes.,"Schafer S, Al-Qaddo H, Gosau M, Smeets R, Hartjen P, Friedrich RE, Nada OA, Vollkommer T, Rashad A.",2021,In Vivo,None,10.21873/invivo.12472,https://europepmc.org/article/MED/34182478,"""cerabone"""
Minimally guided bone regeneration procedure for immediate implant placement and provisionalization of a maxillary lateral incisor: A case report.,"Fattahian A, Poursafar F, Yaghobee S.",2020,J Adv Periodontol Implant Dent,None,10.34172/japid.2020.002,https://europepmc.org/article/MED/35919303,"""cerabone"""
Sinus Mucosa Thinning and Perforations after Sinus Lifting Performed with Different Xenografts: A Histological Analysis in Rabbits.,"Favero R, Apaza Alccayhuaman KA, Botticelli D, Xavier SP, Ferreira Balan V, Macchi V, De Caro R.",2021,Dent J (Basel),None,10.3390/dj10010002,https://europepmc.org/article/MED/35049600,"""cerabone"""
The allogeneic shell technique for alveolar ridge augmentation: a multicenter case series and experiences of more than 300 cases.,"Kämmerer PW, Tunkel J, Götz W, Würdinger R, Kloss F, Pabst A.",2022,Int J Implant Dent,None,10.1186/s40729-022-00446-y,https://europepmc.org/article/MED/36316597,"""cerabone"""
Osseointegration at Implants Installed in Composite Bone: A Randomized Clinical Trial on Sinus Floor Elevation.,"Kotsu M, Apaza Alccayhuaman KA, Ferri M, Iezzi G, Piattelli A, Fortich Mesa N, Botticelli D.",2022,J Funct Biomater,None,10.3390/jfb13010022,https://europepmc.org/article/MED/35323222,"""cerabone"""
Customized 3D-Printed Titanium Mesh Developed for an Aesthetic Zone to Regenerate a Complex Bone Defect Resulting after a Deficient Odontectomy: A Case Report.,"Gelețu GL, Burlacu A, Murariu A, Andrian S, Golovcencu L, Baciu ER, Maftei G, Onica N.",2022,Medicina (Kaunas),None,10.3390/medicina58091192,https://europepmc.org/article/MED/36143869,"""cerabone"""
Single Immediate Implant Placement with Provisional Crown in the Esthetic Zone with 6 Years Follow-Up.,"Maalouf E, Nakhoul E, Abillamaa F, Aoun G.",2023,Acta Inform Med,None,10.5455/aim.2023.31.226-230,https://europepmc.org/article/MED/37781494,"""cerabone"""
Materials in the Na<sub>2</sub>O-CaO-SiO<sub>2</sub>-P<sub>2</sub>O<sub>5</sub> System for Medical Applications.,"Kaimonov MR, Safronova TV.",2023,Materials (Basel),None,10.3390/ma16175981,https://europepmc.org/article/MED/37687671,"""cerabone"""
Are Artificial Intelligence-Assisted Three-Dimensional Histological Reconstructions Reliable for the Assessment of Trabecular Microarchitecture?,"Báskay J, Pénzes D, Kontsek E, Pesti A, Kiss A, Guimarães Carvalho BK, Szócska M, Szabó BT, Dobó-Nagy C, Csete D, Mócsai A, Németh O, Pollner P, Mijiritsky E, Kivovics M.",2024,J Clin Med,None,10.3390/jcm13041106,https://europepmc.org/article/MED/38398417,"""cerabone"""
The Localized Ionic Microenvironment in Bone Modelling/Remodelling: A Potential Guide for the Design of Biomaterials for Bone Tissue Engineering.,"Mu Y, Du Z, Xiao L, Gao W, Crawford R, Xiao Y.",2023,J Funct Biomater,None,10.3390/jfb14020056,https://europepmc.org/article/MED/36826855,"""cerabone"""
3D-printed bi-layered polymer/hydrogel construct for interfacial tissue regeneration in a canine model.,"Jamalpour MR, Yadegari A, Vahdatinia F, Amirabad LM, Jamshidi S, Shojaei S, Shokri A, Moeinifard E, Omidi M, Tayebi L.",2022,Dent Mater,None,10.1016/j.dental.2022.06.020,https://europepmc.org/article/MED/35738951,"""cerabone"""
A Novel Muco-Gingival Approach for Immediate Implant Placement to Obtain Soft- and Hard-Tissue Augmentation.,"Stefanini M, Sangiorgi M, Bianchelli D, Bellone P, Gelpi F, De Santis D, Zucchelli G.",2022,J Clin Med,None,10.3390/jcm11174985,https://europepmc.org/article/MED/36078914,"""cerabone"""
Regeneration of Buccal Wall Defects after Tooth Extraction with Biphasic Calcium Phosphate in Injectable Form vs. Bovine Xenograft: A Randomized Controlled Clinical Trial.,"Čandrlić M, Tomas M, Matijević M, Kačarević ŽP, Bićanić M, Udiljak Ž, Butorac Prpić I, Miškulin I, Čandrlić S, Včev A.",2023,Dent J (Basel),None,10.3390/dj11090223,https://europepmc.org/article/MED/37754343,"""cerabone"""
Bone Regeneration with Mesenchymal Stem Cells in Scaffolds: Systematic Review of Human Clinical Trials.,"Theodosaki AM, Tzemi M, Galanis N, Bakopoulou A, Kotsiomiti E, Aggelidou E, Kritis A.",2024,Stem Cell Rev Rep,None,10.1007/s12015-024-10696-5,https://europepmc.org/article/MED/38407793,"""cerabone"""
Grafting with Bone Substitute Materials in Therapy-Resistant Periapical Actinomycosis.,"Asgary S, Roghanizadeh L.",2021,Case Rep Dent,None,10.1155/2021/6619731,https://europepmc.org/article/MED/33708448,"""cerabone"""
Two-Year Follow-Up of 4-mm-Long Implants Used as Distal Support of Full-Arch FDPs Compared to 10-mm Implants Installed after Sinus Floor Elevation. A Randomized Clinical Trial.,"Rossi F, Tuci L, Ferraioli L, Ricci E, Suerica A, Botticelli D, Pellegrino G, Felice P.",2021,Int J Environ Res Public Health,None,10.3390/ijerph18073846,https://europepmc.org/article/MED/33917587,"""cerabone"""
Comparative barrier membrane degradation over time: Pericardium versus dermal membranes.,"Bornert F, Herber V, Sandgren R, Witek L, Coelho PG, Pippenger BE, Shahdad S.",2021,Clin Exp Dent Res,None,10.1002/cre2.414,https://europepmc.org/article/MED/33949796,"""cerabone"""
Rehabilitation of ectodermal dysplasia patient with a telescopic denture in the maxilla and mandibular implant assisted overdenture: A case report.,"Alajami H, Saker J.",2021,Clin Case Rep,None,10.1002/ccr3.5206,https://europepmc.org/article/MED/34938562,"""cerabone"""
Application of modified porcine xenograft by collagen coating in the veterinary field: pre-clinical and clinical evaluations.,"Jo HM, Jang K, Shim KM, Bae C, Park JB, Kang SS, Kim SE.",2024,Front Vet Sci,None,10.3389/fvets.2024.1373099,https://europepmc.org/article/MED/38566748,"""cerabone"""
Beyond hype: unveiling the Real challenges in clinical translation of 3D printed bone scaffolds and the fresh prospects of bioprinted organoids.,"Zhao X, Li N, Zhang Z, Hong J, Zhang X, Hao Y, Wang J, Xie Q, Zhang Y, Li H, Liu M, Zhang P, Ren X, Wang X.",2024,J Nanobiotechnology,None,10.1186/s12951-024-02759-z,https://europepmc.org/article/MED/39169401,"""cerabone"""
Assessment of tricalcium phosphate/titanium dioxide (TCP/TiO2) nanocomposite scaffold compared with bone autograft and hydroxyapatite (HA) on the healing of segmental femur bone defect in rabbits.,"Sonbolekar H, Alireza J, Ahmad A, Hesaraki S, Akbarzadeh A.",2022,J Mater Sci Mater Med,None,10.1007/s10856-022-06694-z,https://europepmc.org/article/MED/36480067,"""cerabone"""
Assessment of the Bone Healing Process Mediated by Periosteum-Derived Mesenchymal Stem Cells' Secretome and a Xenogenic Bioceramic-An In Vivo Study in the Rabbit Critical Size Calvarial Defect Model.,"Pranskunas M, Šimoliūnas E, Alksne M, Martin V, Gomes PS, Puisys A, Kaupinis A, Juodzbalys G.",2021,Materials (Basel),None,10.3390/ma14133512,https://europepmc.org/article/MED/34202509,"""cerabone"""
Comparison of the amount of artifacts induced by zirconium and titanium implants in cone-beam computed tomography images.,"Shokri A, Vafaee F, Haghighat L, Shahabi S, Farhadian M, Jamalpour MR.",2022,BMC Med Imaging,None,10.1186/s12880-022-00884-5,https://europepmc.org/article/MED/36057551,"""cerabone"""
Physicochemical characteristics of bone substitutes used in oral surgery in comparison to autogenous bone.,"Berberi A, Samarani A, Nader N, Noujeim Z, Dagher M, Kanj W, Mearawi R, Salemeh Z, Badran B.",2014,Biomed Res Int,None,10.1155/2014/320790,https://europepmc.org/article/MED/25143936,"""cerabone"""
Matrix Metalloproteinase 9 (MMP-9) and Interleukin-8 (IL-8) in Gingival Crevicular Fluid after Regenerative Therapy in Periodontal Intrabony Defects with and without Systemic Antibiotics-Randomized Clinical Trial.,"Dolińska E, Pietruska M, Dymicka-Piekarska V, Milewski R, Sculean A.",2022,Pathogens,None,10.3390/pathogens11101184,https://europepmc.org/article/MED/36297241,"""cerabone"""
Biomaterial scaffolds in maxillofacial bone tissue engineering: A review of recent advances.,"Huang X, Lou Y, Duan Y, Liu H, Tian J, Shen Y, Wei X.",2024,Bioact Mater,None,10.1016/j.bioactmat.2023.10.031,https://europepmc.org/article/MED/38024227,"""cerabone"""
'Butterfly': a residual bone independent technique for one-stage sinus lift.,"Filipov I, Bolognesi F, Chirila L.",2020,BMJ Case Rep,None,10.1136/bcr-2020-236245,https://europepmc.org/article/MED/33130581,"""cerabone"""
Can glass polyalkenoate (glass-ionomer) dental cements be considered bioactive? A review.,"Nicholson JW, Sidhu SK, Czarnecka B.",2024,Heliyon,None,10.1016/j.heliyon.2024.e25239,https://europepmc.org/article/MED/38352767,"""cerabone"""
"15-Year Retrospective Study on the Success Rate of Maxillary Sinus Augmentation and Implants: Influence of Bone Substitute Type, Presurgical Bone Height, and Membrane Perforation during Sinus Lift.","Jamcoski VH, Faot F, Marcello-Machado RM, Melo ACM, Fontão FNGK.",2023,Biomed Res Int,None,10.1155/2023/9144661,https://europepmc.org/article/MED/36860810,"""cerabone"""
Ridge augmentation-The new field of computerized guided surgery: A technical note for minimal-invasive bone splitting.,"Alevizakos V, Mitov G, Schiller M, von See C.",2021,Clin Case Rep,None,10.1002/ccr3.4046,https://europepmc.org/article/MED/33936701,"""cerabone"""
Bone Dimensional Change Following Immediate Implant Placement in Posterior Teeth with CBCT: A 6-Month Prospective Clinical Study.,"Bungthong W, Amornsettachai P, Luangchana P, Chuenjitkuntaworn B, Suphangul S.",2022,Molecules,None,10.3390/molecules27030608,https://europepmc.org/article/MED/35163869,"""cerabone"""
Reconstruction of vertical alveolar ridge deficiencies utilizing a high-density polytetrafluoroethylene membrane /clinical impact of flap dehiscence on treatment outcomes: case series/.,"Palkovics D, Bolya-Orosz F, Pinter C, Molnar B, Windisch P.",2022,BMC Oral Health,None,10.1186/s12903-022-02513-7,https://europepmc.org/article/MED/36376891,"""cerabone"""
Multidisciplinary Approach to Rehabilitation after Tumor Resective Jaw Surgery: A 9-Year Follow-Up.,"Smojver I, Vuletić M, Manojlović S, Gabrić D.",2020,Case Rep Dent,None,10.1155/2020/8867320,https://europepmc.org/article/MED/33381326,"""cerabone"""
Residual Bone Height and New Bone Formation after Maxillary Sinus Augmentation Procedure Using Biomaterials: A Network Meta-Analysis of Clinical Trials.,"Khijmatgar S, Del Fabbro M, Tumedei M, Testori T, Cenzato N, Tartaglia GM.",2023,Materials (Basel),None,10.3390/ma16041376,https://europepmc.org/article/MED/36837005,"""cerabone"""
Influence of loading and grafting on hard- and soft-tissue healing at immediately placed implants: An experimental study in minipigs.,"Parvini P, Buser D, Pippenger BE, Imber JC, Stavropoulos A, Bellón B, Jarry C, Schwarz F.",2023,J Clin Periodontol,None,10.1111/jcpe.13734,https://europepmc.org/article/MED/36217692,"""cerabone"""
Sinus Mucosa Thickness Changes and Ostium Involvement after Maxillary Sinus Floor Elevation in Sinus with Septa. A Cone Beam Computed Tomography Study.,"Kato S, Omori Y, Kanayama M, Hirota A, Ferri M, Apaza Alccayhuaman KA, Botticelli D.",2021,Dent J (Basel),None,10.3390/dj9080082,https://europepmc.org/article/MED/34435994,"""cerabone"""
Can placement of an immediate bone level tapered implant and subperiosteal xenograft help maintain bone architecture in esthetic areas?,"Caiazzo A, Brugnami F, Mehra P.",2019,J Oral Biol Craniofac Res,None,10.1016/j.jobcr.2019.04.005,https://europepmc.org/article/MED/31061786,"""cerabone"""
Immediate Functional Loading with Full-Arch Fixed Implant-Retained Rehabilitation in Periodontal Patients: Clinical Study.,"Velasco-Ortega E, Cracel-Lopes JL, Matos-Garrido N, Jiménez-Guerra A, Ortiz-Garcia I, Moreno-Muñoz J, Núñez-Márquez E, Rondón-Romero JL, López-López J, Monsalve-Guil L.",2022,Int J Environ Res Public Health,None,10.3390/ijerph192013162,https://europepmc.org/article/MED/36293738,"""cerabone"""
Bone augmentation with sticky bone and platelet-rich fibrin by ridge-split technique and nasal floor engagement for immediate loading of dental implant after extracting impacted canine.,"Soni R, Priya A, Yadav H, Mishra N, Kumar L.",2019,Natl J Maxillofac Surg,None,10.4103/njms.njms_37_18,https://europepmc.org/article/MED/31205397,"""cerabone"""
Effects of Systemic Propranolol Application on the New Bone Formation in Periimplant Guided Bone Regeneration.,"Gunes N, Gül M, Dundar S, Artas G, Kobat MA, Tekin S, Bozoglan A, Isayev A.",2021,J Oral Maxillofac Res,None,10.5037/jomr.2021.12302,https://europepmc.org/article/MED/34777724,"""cerabone"""
